nombre;adultos;nino;descripcion;tipo;momento;tiempo;repeticion;plato_unico;ingredientes
Macarrones con queso y pollo;si;no;Macarrones gratinados con taquitos de pechuga y queso.;Pasta|Queso|Carne blanca;comida;medio;alta;si;macarrones|pechuga de pollo|queso rallado|nata para cocinar|aceite de oliva
Puré o crema de verduras;si;si;Zanahoria, patata, puerro y calabacín triturados.;Verdura|Tubérculo;ambos;medio;alta;no;zanahoria|patata|puerro|calabacín|aceite de oliva
Puré de verduras con pescado;si;si;La misma base de verduras con merluza.;Verdura|Tubérculo|Pescado blanco;ambos;medio;alta;si;zanahoria|patata|puerro|calabacín|merluza|aceite de oliva
Puré de verduras con carne;si;si;La misma base de verduras con pollo.;Verdura|Tubérculo|Carne blanca;ambos;medio;alta;si;zanahoria|patata|puerro|calabacín|pechuga de pollo|aceite de oliva
Empanadillas congeladas;no;si;Al horno o en freidora de aire.;Preparado o congelado;ambos;bajo;media;no;empanadillas congeladas
Croquetas congeladas;si;si;Al horno o en freidora de aire.;Preparado o congelado;ambos;bajo;media;no;croquetas congeladas
Sopa de pollo;si;si;Brick de caldo con fideos finos.;Carne blanca|Pasta;ambos;bajo;alta;no;caldo de pollo|fideos
Tortilla;no;si;Tortilla de patata, jugosa.;Huevo|Tubérculo;ambos;bajo;siempre;no;huevos|patata|aceite de oliva
Guisantes con jamón;si;si;Guisantes salteados con taquitos de jamón.;Legumbre|Embutido y fiambre;ambos;bajo;media;no;guisantes|jamón cocido|aceite de oliva
Calamares;si;si;Anillas a la plancha o rebozadas.;Marisco;ambos;bajo;media;no;calamares|harina|aceite de oliva
Hamburguesa de pollo;no;si;A la plancha, con pan o en plato.;Carne blanca|Pan y cereales;ambos;bajo;media;si;hamburguesa de pollo|pan de hamburguesa|tomate
Macarrones con salchichas;si;si;Macarrones con tomate y salchichas en rodajas.;Pasta|Embutido y fiambre|Queso;ambos;bajo;alta;si;macarrones|salchichas|tomate frito|queso rallado
Rollitos de la Yaya;si;si;Lonchas de jamón de york enrolladas con queso, receta de la yaya.;Embutido y fiambre|Queso;ambos;bajo;media;no;jamón cocido|queso en lonchas
Arroz con pollo;no;si;Arroz meloso con taquitos de pechuga.;Arroz|Carne blanca;ambos;medio;alta;si;arroz|pechuga de pollo|caldo de pollo|cebolla|aceite de oliva
Menú guarde;no;si;Ese día come en la guardería: no entra en la lista de la compra.;Guardería;comida;bajo;nunca;si;
Lomo con queso;si;si;Sin descripción.;Carne roja|Queso;ambos;bajo;media;no;lomo de cerdo|queso en lonchas
Queso fresco;si;si;Sin descripción.;Queso;ambos;medio;media;no;queso fresco
Niguiri de tortilla;si;si;Sin descripción.;Arroz|Huevo;ambos;medio;media;no;arroz|huevos
Berenjenas rellenas;si;si;Sin descripción.;Verdura|Carne blanca|Queso;ambos;alto;baja;no;berenjena|carne picada de pollo|tomate frito|queso rallado|cebolla
Brocoli;si;si;Sin descripción.;Verdura;ambos;medio;baja;no;brócoli|aceite de oliva
Nuggets de pollo conjelados;si;si;Sin descripción.;Carne blanca|Preparado o congelado;ambos;bajo;media;no;nuggets de pollo
Melón con Jamón;si;si;Sin descripción.;Carne roja;ambos;bajo;baja;no;jamón serrano
Patatas fritas;si;si;Guarnición de patatas fritas;Tubérculo;ambos;medio;media;no;patata
